id,MIN202304070
version,2
info,visteam,HOU
info,hometeam,MIN
info,site,MIN04
info,date,2023/04/07
info,number,0
info,gametype,regular
info,starttime,3:10PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,gibsh902
info,ump1b,millb903
info,ump2b,carlm901
info,ump3b,bakej902
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/28 12:23:55
info,howscored,unknown
info,pitches,pitches
info,oscorer,thors701
info,temp,47
info,winddir,rtol
info,windspeed,10
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,167
info,attendance,38465
info,wp,lopej004
info,lp,stanr002
info,save,
start,penaj004,"Jeremy Pena",0,1,6
start,brega001,"Alex Bregman",0,2,5
start,alvay001,"Yordan Alvarez",0,3,7
start,abrej003,"Jose Abreu",0,4,10
start,tuckk001,"Kyle Tucker",0,5,9
start,hensd002,"David Hensley",0,6,3
start,mccoc001,"Chas McCormick",0,7,8
start,dubom001,"Mauricio Dubon",0,8,4
play,7,1,gallj002,00,X,31/G3
play,8,0,cabro002,00,,NP
sub,jax-g001,"Griffin Jax",1,0,1
play,8,0,cabro002,11,.BFX,43/G34
play,8,0,trevj001,02,FCX,S8/L89D
play,8,0,hicka001,12,BCFX,3/P3F/FL
play,8,0,volpa001,01,SX,S9/L9S.1-2
play,8,0,judga001,32,*BF*BBC>F.>F>X,E5/TH/G56S.2-3;1-2;B-1
play,8,0,rizza001,02,CFS,K
play,8,1,vazqc001,00,,NP
sub,cordj001,"Jimmy Cordero",0,0,1
play,8,1,vazqc001,11,.BCX,3/G34
play,8,1,taylm002,22,BFC.BX,8/L8D
play,8,1,keplm001,01,CX,S9/G34+
play,8,1,corrc001,12,BSFX,T9/F9LD.1-H
play,8,1,polaj001,32,BBSC*BS,K
play,9,0,torrg001,00,,NP
sub,moraj003,"Jovani Moran",1,0,1
play,9,0,torrg001,31,.BCBBB,W
play,9,0,lemad001,11,CBX,S7/G6+.1-2
play,9,0,cordf003,00,,NP
sub,kinei001,"Isiah Kiner-Falefa",0,6,11
play,9,0,kinei001,31,.*BBCBB,W.2-3;1-2
play,9,0,cabro002,32,BSB*BCX,5(2)/FO/G5.3-H;1-2;B-1
play,9,0,trevj001,01,CX,7/F7LF/FL
play,9,0,hicka001,02,C.CS,K
data,er,abrea001,0
data,er,britj003,3
data,er,peraw002,0
data,er,weisg001,1
data,er,cordj001,1
data,er,grays001,0
data,er,jax-g001,0
data,er,moraj003,1
id,MIN202304300
version,2
info,visteam,KCA
info,hometeam,MIN
info,site,MIN04
info,date,2023/04/30
info,number,0
info,gametype,regular
info,starttime,1:10PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,carav901
info,ump1b,mahrn901
info,ump2b,laynj901
info,ump3b,ballb901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/05/20 17:39:19
info,howscored,unknown
info,pitches,pitches
info,oscorer,johns701
info,temp,45
info,winddir,torf
info,windspeed,18
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,170
info,attendance,17150
info,wp,grays001
info,lp,singb001
info,save,duraj002
start,wittb002,"Bobby Witt Jr.",0,1,6
start,pasqv001,"Vinnie Pasquantino",0,2,3
start,peres002,"Salvador Perez",0,3,2
start,olive001,"Edward Olivares",0,4,7
start,pratn001,"Nick Pratto",0,5,9
start,reyef001,"Franmil Reyes",0,6,10
start,dozih001,"Hunter Dozier",0,7,5
start,bradj001,"Jackie Bradley Jr.",0,8,8
start,duffm002,"Matt Duffy",0,9,4
start,singb001,"Brady Singer",0,0,1
start,keplm001,"Max Kepler",1,1,9
start,polaj001,"Jorge Polanco",1,2,4
start,corrc001,"Carlos Correa",1,3,6
start,buxtb001,"Byron Buxton",1,4,10
start,larnt001,"Trevor Larnach",1,5,7
start,gallj002,"Joey Gallo",1,6,3
start,gordn001,"Nick Gordon",1,7,8
start,castw003,"Willi Castro",1,8,5
start,vazqc001,"Christian Vazquez",1,9,2
start,grays001,"Sonny Gray",1,0,1
play,1,0,wittb002,12,BFFX,63/G6
play,1,0,pasqv001,11,BSX,63/G6
play,1,0,peres002,02,CFFX,9/F9LS
play,1,1,keplm001,11,.BCX,6/P6
play,1,1,polaj001,12,CFBS,K
play,1,1,corrc001,12,CBCC,K
play,2,0,olive001,22,CBBS.X,S8/G6M+
play,2,0,pratn001,22,CB1FB>S,K+SB2.1-3(E2/TH)
play,2,0,reyef001,32,BCTBBC,K
play,2,0,dozih001,32,B*BSF.BF*S,K
play,2,1,buxtb001,01,FX,D9/L9D
play,2,1,larnt001,30,BBBB,W
play,2,1,gallj002,12,BSSX,9/L9.2-3
play,2,1,gordn001,00,X,13/SH/BG2-.3-H;1-2
play,2,1,castw003,02,.ACC,K
play,3,0,bradj001,01,SX,63/G4MD
play,3,0,duffm002,31,.VBFBX,D7/G5
play,3,0,wittb002,12,CSBX,63/G4M.2-3
play,3,0,pasqv001,30,.BBBB,W
play,3,0,peres002,01,SX,4/P34D
play,3,1,vazqc001,12,BCS.FT,K
play,3,1,keplm001,31,CBBBB,W
play,3,1,polaj001,12,BFFS,K
play,3,1,corrc001,32,BBFF*B>B,W.1-2
play,3,1,buxtb001,11,C*BX,HR/F7D.2-H;1-H
play,3,1,larnt001,22,FBBSX,S8/G4M
play,3,1,gallj002,02,FFF1FFH,HP.1-2
play,3,1,gordn001,32,BBCBC>F.>X,S8/G6M.2-H;1-3
play,3,1,castw003,00,X,S39/L34D.3-H;1-3
play,3,1,vazqc001,00,,NP
sub,stauj001,"Josh Staumont",0,0,1
