pitch_type,zone,stand,type,balls,strikes,on_3b,on_2b,on_1b,outs_when_up,inning,at_bat_number,pitch_number,bat_score,fld_score,years_since_2015
5,8.0,0,2,0,0,0,0,0,0,6,39,1,0,2,0.02737850787132101
1,3.0,0,0,0,0,0,0,0,1,6,40,1,0,2,0.02737850787132101
3,1.0,0,1,1,0,0,0,0,1,6,40,2,0,2,0.02737850787132101
4,13.0,0,0,1,1,0,0,0,1,6,40,3,0,2,0.02737850787132101
2,6.0,0,1,2,1,0,0,0,1,6,40,4,0,2,0.02737850787132101
4,1.0,0,2,2,2,0,0,0,1,6,40,5,0,2,0.02737850787132101
4,13.0,0,0,0,0,0,0,1,1,6,41,1,0,2,0.02737850787132101
4,13.0,0,0,1,0,0,0,1,1,6,41,2,0,2,0.02737850787132101
4,11.0,0,0,2,0,0,0,1,1,6,41,3,0,2,0.02737850787132101
1,13.0,0,1,3,0,0,0,1,1,6,41,4,0,2,0.02737850787132101
1,1.0,0,1,3,1,0,0,1,1,6,41,5,0,2,0.02737850787132101
1,9.0,0,2,3,2,0,0,1,1,6,41,6,0,2,0.02737850787132101
2,13.0,1,0,0,0,0,1,1,1,6,42,1,0,2,0.02737850787132101
2,14.0,1,0,1,0,0,1,1,1,6,42,2,0,2,0.02737850787132101
4,13.0,1,0,2,0,0,1,1,1,6,42,3,0,2,0.02737850787132101
1,8.0,1,1,3,0,0,1,1,1,6,42,4,0,2,0.02737850787132101
3,4.0,1,1,3,1,0,1,1,1,6,42,5,0,2,0.02737850787132101
4,11.0,1,1,3,2,0,1,1,1,6,42,6,0,2,0.02737850787132101
2,4.0,1,1,0,0,0,1,1,2,6,43,1,0,2,0.02737850787132101
1,5.0,1,1,0,1,0,1,1,2,6,43,2,0,2,0.02737850787132101
1,12.0,1,2,0,2,0,1,1,2,6,43,3,0,2,0.02737850787132101
2,8.0,1,1,0,0,0,0,0,0,7,50,1,0,5,0.02737850787132101
4,4.0,1,2,0,1,0,0,0,0,7,50,2,0,5,0.02737850787132101
2,9.0,1,1,0,0,0,0,0,1,7,51,1,0,5,0.02737850787132101
1,13.0,1,2,0,1,0,0,0,1,7,51,2,0,5,0.02737850787132101
1,4.0,0,1,0,0,0,0,1,1,7,52,1,0,5,0.02737850787132101
1,11.0,0,0,0,1,0,0,1,1,7,52,2,0,5,0.02737850787132101
5,13.0,0,0,1,1,0,0,1,1,7,52,3,0,5,0.02737850787132101
2,8.0,0,1,2,1,0,0,1,1,7,52,4,0,5,0.02737850787132101
2,8.0,0,2,2,2,0,0,1,1,7,52,5,0,5,0.02737850787132101
