,IDfg,Name,Age,PA,AVG,BB%,K%,BB/K,OBP,SLG,Spd,wRAA,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%
15,9166,Buster Posey,34,454,0.304,0.12300000000000001,0.192,0.64,0.39,0.499,1.5,24.2,1.59,0.62,1.35,-0.58,2.13,-4.88,,0.272,0.687,0.445,0.695,0.825,0.779,0.41700000000000004,0.564,0.098
117,12532,Kolten Wong,31,989,0.262,0.078,0.17300000000000001,0.45,0.337,0.439,5.9,19.4,1.16,0.45,1.95,-0.75,-0.21,3.36,,0.28300000000000003,0.6679999999999999,0.449,0.6709999999999999,0.893,0.813,0.431,0.578,0.084
126,17919,Ian Happ,27,1176,0.25,0.102,0.259,0.39,0.333,0.437,4.1,21.0,0.58,-0.77,0.94,0.19,1.03,-1.24,,0.287,0.7190000000000001,0.465,0.58,0.82,0.7340000000000001,0.414,0.578,0.124
172,6153,Eduardo Escobar,32,1141,0.247,0.077,0.222,0.35,0.305,0.452,3.2,10.5,0.76,-1.41,-0.81,0.27,1.51,0.45,-20.91,0.358,0.732,0.508,0.6679999999999999,0.841,0.768,0.401,0.599,0.11800000000000001
193,9874,DJ LeMahieu,33,1220,0.265,0.115,0.135,0.85,0.353,0.368,3.0,8.8,-0.02,0.07,3.63,1.34,-0.9,-2.46,,0.265,0.588,0.405,0.7929999999999999,0.9229999999999999,0.875,0.434,0.622,0.05
214,17232,Yoan Moncada,27,1049,0.241,0.111,0.258,0.43,0.333,0.386,2.9,4.6,-0.14,0.05,1.4,1.09,-0.07,1.09,-6.18,0.28800000000000003,0.667,0.444,0.5720000000000001,0.847,0.742,0.41100000000000003,0.575,0.115
23,25931,Michael Harris II,21,441,0.297,0.048,0.243,0.2,0.339,0.514,7.2,20.2,1.97,0.62,0.07,0.5,-0.99,10.67,,0.41700000000000004,0.679,0.522,0.597,0.861,0.735,0.40299999999999997,0.5529999999999999,0.138
112,18568,Luis Arraez,25,1082,0.307,0.086,0.084,1.02,0.367,0.401,3.9,21.7,0.96,0.64,-0.45,0.02,0.37,0.79,,0.281,0.627,0.43,0.884,0.948,0.924,0.429,0.5660000000000001,0.033
171,14128,Joey Gallo,28,1026,0.183,0.163,0.366,0.44,0.323,0.416,4.3,9.7,0.9,-0.17,-0.88,-0.86,0.1,-4.96,,0.258,0.685,0.43,0.43700000000000006,0.7290000000000001,0.624,0.402,0.5720000000000001,0.161
198,13757,Chris Taylor,31,1036,0.24,0.10300000000000001,0.316,0.33,0.327,0.409,6.1,7.1,0.81,-0.14,-0.78,0.33,-1.56,1.14,9.07,0.259,0.752,0.475,0.444,0.754,0.659,0.439,0.621,0.162
252,18030,Harrison Bader,28,714,0.259,0.059000000000000004,0.20600000000000002,0.29,0.311,0.414,5.9,-0.4,0.39,-0.4,0.7,0.23,1.06,-0.98,,0.35700000000000004,0.639,0.47200000000000003,0.6509999999999999,0.888,0.782,0.40700000000000003,0.595,0.10300000000000001
241,15518,Amed Rosario,26,1258,0.282,0.045,0.184,0.24,0.316,0.406,6.7,1.3,-0.08,-0.86,1.35,-1.32,2.21,5.09,,0.4,0.667,0.511,0.701,0.8690000000000001,0.792,0.41700000000000004,0.637,0.106
121,23667,Wander Franco,21,652,0.282,0.077,0.107,0.71,0.337,0.439,6.2,12.2,1.24,3.49,-0.92,0.69,-1.52,-0.27,,0.337,0.7440000000000001,0.504,0.773,0.927,0.866,0.41100000000000003,0.598,0.067
269,15223,Adam Frazier,29,1241,0.273,0.076,0.114,0.66,0.335,0.362,4.8,-3.6,-0.13,-0.74,-1.14,0.26,0.36,1.99,,0.312,0.6970000000000001,0.48,0.7909999999999999,0.93,0.879,0.436,0.62,0.057999999999999996
