id,ARI202204070
version,2
info,visteam,SDN
info,hometeam,ARI
info,site,PHO01
info,date,2022/04/07
info,number,0
info,starttime,6:40PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,vanol901
info,ump1b,belld901
info,ump2b,barbs901
info,ump3b,valej901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:24:00
info,howscored,unknown
info,pitches,pitches
info,oscorer,black701
info,temp,93
info,winddir,ltor
info,windspeed,6
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,198
info,attendance,35508
info,wp,mantj002
info,lp,suarr002
info,save,
start,nolaa002,"Austin Nola",0,1,2
start,machm001,"Manny Machado",0,2,5
start,cronj001,"Jake Cronenworth",0,3,4
start,voitl001,"Luke Voit",0,4,10
start,myerw001,"Wil Myers",0,5,9
start,hosme001,"Eric Hosmer",0,6,3
start,profj001,"Jurickson Profar",0,7,7
start,kim-h002,"Ha-Seong Kim",0,8,6
play,1,1,walkc002,32,BBCSF*BX,D8/F8XD+.1-3
play,1,1,rojaj001,22,B*BCCC,K
play,1,1,ahmen001,12,SSBFFS,K
play,1,1,perdg001,32,*BBSBFS,K
play,2,0,sancj003,22,BBCTFFS,K
play,2,0,henrp001,10,BX,63/G6+
play,2,0,rojam002,32,FCFBBFBFFX,8/L8XD
play,2,1,thoma004,00,X,43/G4
play,2,1,herrj003,32,BBCSBFS,K
play,2,1,hummc001,12,BCSS,K
play,3,0,aguij001,02,CFX,8/L8XD
play,3,0,solej001,22,BCCBC,K
play,3,0,coopg002,21,BBCX,S8/G4M+
play,3,0,garca003,10,BX,8/F78XD
play,3,1,luplj001,32,CSBBBS,K
play,3,1,martk001,32,FCBBBFF*B,W
play,3,1,walkc002,32,FCBBBF1F*B,W.1-2
play,3,1,rojaj001,21,BCBX,8/L8D
play,3,1,ahmen001,00,,NP
sub,headl001,"Louis Head",0,0,1
