id,TBA202304010
version,2
info,visteam,DET
info,hometeam,TBA
info,site,STP01
info,date,2023/04/01
info,number,0
info,gametype,regular
info,starttime,4:10PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,carav901
info,ump1b,mahrn901
info,ump2b,hamaa901
info,ump3b,laynj901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/23 20:30:17
info,howscored,unknown
info,pitches,pitches
info,oscorer,dabrj701
info,temp,72
info,winddir,unknown
info,windspeed,0
info,fieldcond,unknown
info,precip,none
info,sky,dome
info,timeofgame,168
info,attendance,20204
info,wp,efliz001
info,lp,turns003
info,save,
start,maton001,"Nick Maton",0,1,5
start,greer003,"Riley Greene",0,2,8
start,baezj001,"Javier Baez",0,3,6
start,carpk001,"Kerry Carpenter",0,4,9
start,meada001,"Austin Meadows",0,5,7
start,torks001,"Spencer Torkelson",0,6,3
start,cabrm001,"Miguel Cabrera",0,7,10
start,mckiz001,"Zach McKinstry",0,8,4
play,2,1,ralel001,10,BX,6/P4M
play,2,1,bethc001,12,CBCFS,K
play,3,0,hayek001,12,CSBX,S9/G34
play,3,0,bae-j001,00,X,46(1)/FO/G34.B-1
play,3,0,delaj004,01,FX,64(1)3/GDP/G6
play,3,1,margm001,22,FBBCFX,43/G4
play,3,1,diazy001,00,X,53/G5
play,3,1,franw002,11,BCX,63/G6
play,4,0,marct001,12,CC.BC,K
play,4,0,reynb001,12,SBFX,S8/G4
play,4,0,mccua001,02,CSS,K
play,4,0,santc002,10,*BX,3/G3
play,4,1,arozr001,00,,NP
sub,hernj005,"Jose Hernandez",0,0,1
play,4,1,arozr001,22,.BCFBX,HR/F9D
play,4,1,lowej002,12,CBSX,43/G34
play,4,1,parei001,01,CX,D7/G5
play,4,1,wallt003,22,CB*BSF.X,3/P3F/FL
play,4,1,ralel001,12,FBFS,K
play,5,0,suwij001,12,FBSC,K
play,5,0,joe-c001,22,FBBFFF.C,K
play,5,0,hayek001,11,SBX,8/L8XD+
play,5,1,bethc001,00,,NP
sub,unded001,"Duane Underwood Jr.",0,0,1
play,5,1,bethc001,31,.BBSBX,8/F8XD
play,5,1,margm001,32,CFBBFBB,W
play,5,1,diazy001,01,CX,8/F8
play,5,1,franw002,21,BC1BX,7/L7
play,6,0,bae-j001,32,CFBBBX,63/G6D
play,6,0,delaj004,02,CSS,K
play,6,0,marct001,12,CBFC,K
play,6,1,arozr001,22,CBFB.S,K
