id,CHN202305250
version,2
info,visteam,NYN
info,hometeam,CHN
info,site,CHI11
info,date,2023/05/25
info,number,0
info,gametype,regular
info,starttime,6:40PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,ortir901
info,ump1b,whitc901
info,ump2b,drakr901
info,ump3b,millb901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/15 09:03:00
info,howscored,unknown
info,pitches,pitches
info,oscorer,speaa701
info,temp,52
info,winddir,fromcf
info,windspeed,16
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,163
info,attendance,35446
info,wp,carrc003
info,lp,hendk001
info,save,
start,nimmb001,"Brandon Nimmo",0,1,8
start,lindf001,"Francisco Lindor",0,2,6
start,mcnej002,"Jeff McNeil",0,3,4
start,alonp001,"Pete Alonso",0,4,3
start,batyb001,"Brett Baty",0,5,5
start,marts002,"Starling Marte",0,6,9
start,voged001,"Daniel Vogelbach",0,7,10
start,canhm001,"Mark Canha",0,8,7
play,7,1,swand001,32,SS.FBFBB>X,8/F89XD
play,8,0,hendg002,00,,NP
sub,assaj001,"Javier Assad",1,0,1
play,8,0,hendg002,22,.CBCBT,K
play,8,0,rutsa001,02,CC.X,S7/L7S
play,8,0,santa003,11,SBX,9/L9D
play,8,0,ohear001,31,*BFBBX,S4/G34.1-2
play,8,0,haysa001,00,X,S9/F89S.2-H;1-3
play,8,0,hicka001,32,BFBS*B>X,5/P5F/FL
play,8,1,morec001,00,,NP
sub,akink001,"Keegan Akin",0,0,1
play,8,1,morec001,00,.,NP
sub,mcker001,"Ryan McKenna",0,6,8
play,8,1,morec001,00,..,NP
sub,ohear001,"Ryan O'Hearn",0,4,9
play,8,1,morec001,00,...,NP
sub,lestj002,"Josh Lester",0,3,3
play,8,1,morec001,32,....BSBSBX,7/L7D+
play,8,1,suzus001,02,CSFX,8/F89D
play,8,1,taucm001,22,BFSBFX,31/G3
play,9,0,fraza001,01,CX,9/L89
play,9,0,uriar001,00,X,9/F89S
play,9,0,matej003,02,.CF*S,K
data,er,akink001,0
data,er,baumm001,2
data,er,irvic001,3
data,er,perec004,2
data,er,garrr001,3
data,er,kay-a001,0
data,er,assaj001,1
data,er,fulmm001,0
data,er,hendk001,2
id,CHN202306290
version,2
info,visteam,PHI
info,hometeam,CHN
info,site,CHI11
info,date,2023/06/29
info,number,0
info,gametype,regular
info,starttime,7:05PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,muchm901
info,ump1b,wolcq901
info,ump2b,valej901
info,ump3b,navaj901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/03 18:03:23
info,howscored,unknown
info,pitches,pitches
info,oscorer,lissr701
info,temp,76
info,winddir,tocf
info,windspeed,4
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,131
info,attendance,35090
info,wp,walkt004
info,lp,hendk001
info,save,kimbc001
start,schwk001,"Kyle Schwarber",0,1,7
start,turnt001,"Trea Turner",0,2,6
start,castn001,"Nick Castellanos",0,3,9
start,harpb003,"Bryce Harper",0,4,10
start,realj001,"J.T. Realmuto",0,5,2
start,stotb001,"Bryson Stott",0,6,4
start,marsb002,"Brandon Marsh",0,7,8
start,harrj002,"Josh Harrison",0,8,5
start,clemk001,"Kody Clemens",0,9,3
start,walkt004,"Taijuan Walker",0,0,1
start,taucm001,"Mike Tauchman",1,1,9
start,hoern001,"Nico Hoerner",1,2,4
start,morec001,"Christopher Morel",1,3,10
start,happi001,"Ian Happ",1,4,7
start,swand001,"Dansby Swanson",1,5,6
start,bellc002,"Cody Bellinger",1,6,8
start,amaym001,"Miguel Amaya",1,7,2
start,younj003,"Jared Young",1,8,3
start,madrn001,"Nick Madrigal",1,9,5
start,hendk001,"Kyle Hendricks",1,0,1
play,1,0,schwk001,00,X,HR/F9LD
play,1,0,turnt001,12,BCFX,D7/L7LD
play,1,0,castn001,00,>C,SB3
play,1,0,castn001,01,>C.X,8/F89
play,1,0,harpb003,12,SBSS,K
play,1,0,realj001,01,CX,8/F8
play,1,1,taucm001,22,CBBC.S,K
play,1,1,hoern001,22,BBFCFX,D7/L7LD
play,1,1,morec001,01,FX,63/G6
play,1,1,happi001,20,BBX,7/F7L
play,2,0,stotb001,02,CFX,63/G6M
play,2,0,marsb002,01,CX,43/G34
